"Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"Plain Pure Scarf (Small Size)","10011020022063","14905715261732","warehouse","1","200 X 50 Cm / BerryRed / Chiffon","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020022063.jpg?v=1716467017"
"Plain Pure Scarf (Small Size)","10011020022074","14905715327268","warehouse","1","200 X 50 Cm / Magenta / Chiffon","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020022074.jpg?v=1716467062"
"Matte Magnet Pin","1001-10","14905942966564","warehouse","1","One Size / 2 / Metal","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_350febc6-d1d1-4ea8-9f55-8f221a45f703.jpg?v=1716890629"
"Cotton Sleeves","10055250621700","14905942999332","warehouse","1","One Size / Black / Cotton","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/WGx3EQa3LKf53JFfe2K6MXW4m1Kmh5jKd2Y4Dfoj.jpg?v=1706284409"
"Matte Magnet Pin","1001-18","14905943064868","warehouse","1","One Size / 10 / Metal","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_f2beb9b4-3a38-4642-a553-1d7dedf5f7c5.jpg?v=1716890614"
"Deftness Chiffon Scarf","10011020039002","14905923240228","warehouse","1","White / Chiffon / 200 x 70 cm","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_6eb78f43-ac76-43f4-a397-b35b34b70917.jpg?v=1714218628"
"Galaxy Chiffon Scarf","10011001014935","14902954688804","warehouse","1","200 x 70 cm / Chiffon","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/2_4d1f56df-e9ab-46a7-81a8-12ad3bc9a4a4.jpg?v=1710921273"
"Opulent Linen Scarf","10011030978012","14902954721572","warehouse","1","RosyBrown / Linen / 200 x 80 cm","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_3ca46e39-211e-41a6-8f0a-1149c7a60bc2.jpg?v=1711889054"
"Classy Linen Scarf","10011030979114","14902954754340","warehouse","1","LaurelGreen / Linen / 200 x 75 cm","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_9b1ff826-57a0-4c22-a74e-ac77348dacce.jpg?v=1714211946"
"Jakkar Linen Scarf","10011030967125","14902954787108","warehouse","1","Linen / LinenBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/9_3ce046cb-7dff-4f51-be82-d92c024f6896.jpg?v=1713086546"
"Essential Shirt","57499353321700","14902902063396","warehouse","3","Black / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/13_82d5f63a-7e33-4346-a6e9-fd1b4b82b6c2.jpg?v=1715284463"
"No Thread Underscarf","10022323013200","14902901768484","warehouse","1","One Size / Gray / Cotton","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/c1vCY9bP0YX4snYVwcvdcE4D11z7zEYqBtIotqMm_e792f3aa-67aa-4c70-9c74-878b22a2eb80.jpg?v=1714899757"
"Linen Pleats Blouse","57499767001200","14902901801252","warehouse","1","Cafe / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_4d06c262-2a58-4f07-be67-a2d49809a68a.jpg?v=1715278493"
"Emerald Chiffon","10011020016003","14903207493924","warehouse","1","170 X 60 Cm / Beige / Chiffon","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/VaftaXf4PaXSA01hDMiOI6j7Wi0Viht5qt40mUPv_38807500-cb3c-4ad1-83f3-c549a549c22f.jpg?v=1706297624"
"Lined Satin Chiffon","10011020032004","14902820045092","warehouse","1","AntiqueWhite / Satin Chiffon / 200 x 70 cm","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_85a1f077-fbf9-4316-aa4b-68559f286599.jpg?v=1714228554"
