"Order Number ","Product Name"," Item SKU ","Qty ","Variant","Product Image"," Price"
"Lvs52935","Leopard Whisper Shawl","10577172573300","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_e085eefb-e6ff-4496-9b6a-cf5d353ded3f.jpg?v=1739095835",""
"Lvs52935","Vital Chiffon Scarf (Big Size)","10512002317698","1","ForestGreen","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/59_8568b15b-45c2-430a-9edd-f5a5d2f38b6a.jpg?v=1737561440",""
"Lvs54514","Normal Underscarf","10422424121700","3","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_4ac38e7e-6256-4415-be22-a01441315f5a.jpg?v=1737468641",""
"Lvs54514","Striped Kuwaiti Scarf","10413095321798","2","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_56f07f4a-64ee-4116-9281-8c19a2056680.jpg?v=1737468200",""
"Lvs54514","Wide Stripped Kuwaiti Scarf","10413095821798","2","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/9_8445f7bd-700d-4923-a213-b2918b662bef.jpg?v=1739014649",""
"Lvs54607","Vital Chiffon Scarf (Small Size)","10512002209698","1","Brown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/17_134dfd22-bef4-42a9-bd77-683dc0443f50.jpg?v=1739187677",""
"Lvs54607","Dots Crinkle Chiffon Scarf","10011020031217","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_dcd5822a-26f7-4baf-b330-083ac0ae6189.jpg?v=1737469641",""
"Lvs54607","Everyday Crinkle Satin Scarf","10412004921798","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_0b9bd415-2d0a-45ec-a761-d7aa17401fed.jpg?v=1737468306",""
"Lvs54607","Vital Chiffon Scarf (Big Size)","10512002305798","1","SiennaBrown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/27_e3b56148-59b8-4f8c-bc7b-e13fbc12e2b9.jpg?v=1737561440",""
"Lvs54607","Vital Chiffon Scarf (Big Size)","10512002309698","1","Squirrel","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/39_f366bc1d-82cd-4e80-985c-fa05502f49b9.jpg?v=1737561440",""
"Lvs54607","Vital Chiffon Scarf (Big Size)","10512002306998","1","Maroon","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/30_55c057e7-8e41-4baa-b349-844afa113de2.jpg?v=1737561440",""
"Lvs54607","Vital Chiffon Scarf (Big Size)","10512002308398","1","RubyRed","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/34_170a8add-0016-4bce-9314-f8350d24e799.jpg?v=1737561440",""
"Lvs54608","Siwa Glow Kaftan","12596363821700","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_aa339817-0dae-4626-8b9c-5d9c76249162.jpg?v=1739629961",""
"Lvs54609","Night Out Kaftan","17596363512100","1","Silver","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_bbca3724-83f0-4369-9e73-4811af8752aa.jpg?v=1738842984",""
"Lvs54610","Cafe Wildlife Chiffon Scarf","10412055411898","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_0e37328b-cdb7-439b-b7d3-8f6329f89e35.jpg?v=1737468461",""
"Lvs54610","Zipper Abaya","57596262121700","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_750634c3-a78b-4db3-b2b4-ffc56d6fe3a1.jpg?v=1739881352",""
"Lvs54611","Electronic Counter","10088484343204","1","9","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/9_12df1c0d-db3e-4d2e-b39f-ece46bb68be7.jpg?v=1737469089",""
