"Order Number ","Product Name"," Item SKU ","Qty ","Variant","Product Image"," Price"
"Lvs39003","Chill Day Shirt","57590440960100","1","Black / Free Size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_0beb3f4e-694a-48aa-be62-618e1f0b1b80.jpg?v=1732185253",""
"Lvs39003","Vital Chiffon Scarf (Small Size)","10011020022130","1","Dolphin","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/mm_d32e35f6-86a4-4df7-9aaf-a253495a7069.jpg?v=1732113530",""
"Lvs39003","Vital Chiffon Scarf (Small Size)","10011020022119","1","Mauve","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/mm_d32e35f6-86a4-4df7-9aaf-a253495a7069.jpg?v=1732113530",""
"Lvs39003","Vital Chiffon Scarf (Small Size)","10011020022218","1","AshBrown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/mm_d32e35f6-86a4-4df7-9aaf-a253495a7069.jpg?v=1732113530",""
"Lvs39003","Vital Chiffon Scarf (Small Size)","10011020022172","1","Olive","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/mm_d32e35f6-86a4-4df7-9aaf-a253495a7069.jpg?v=1732113530",""
"Lvs39003","Vital Chiffon Scarf (Small Size)","10011020022217","2","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/mm_d32e35f6-86a4-4df7-9aaf-a253495a7069.jpg?v=1732113530",""
"Lvs39478","Buttoned Wool Jacket","57090960121740","1","L/XL / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/m_33f6dadf-f5b9-4527-9c7c-60642399084c.jpg?v=1727694247",""
"Lvs39478","Buttoned Wool Jacket","57090960112240","1","L/XL / DarkGray","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/m_33f6dadf-f5b9-4527-9c7c-60642399084c.jpg?v=1727694247",""
"Lvs39478","Sparkle Satin Chiffon Scarf","10412004221998","1","ChocolateBrown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10412004221998.jpg?v=1726479178",""
"Lvs39478","Luxury Satin Chiffon Scarf","10412004323198","1","Almond","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_7e1aa933-bb55-47dc-88f3-2fada943548d.jpg?v=1726911033",""
"Lvs40307","Embroidered Linen Scarf","10413099102998","1","Salmon","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/m_ea0d0693-a3a7-4bb2-9560-45f50bbbad1b.jpg?v=1726489750",""
"Lvs40307","Self Confidence Hoodie","43590343170600","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/11_6a3307cb-d705-4b31-893e-61a27a4ef2c1.jpg?v=1731713892",""
"Lvs40307","Washed Linen Satin Scarf","10413090112298","1","2","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_2b7594bd-c3af-4620-abf0-57876cec7cdd.jpg?v=1728812457",""
"Lvs40307","Be You Hoodie","43590343170100","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_46d7c11a-f46b-4f98-9a37-d23dfa3c8f5d.jpg?v=1731709510",""
"Lvs40311","Hijab Satin Scrunchie","12422020121700","1","Free size / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_b7ed22e7-8382-420f-b4b3-acfb1b8059aa.jpg?v=1719239895",""
"Lvs40311","Easy Closed Wrap Scarf","10413094411496","1","TaupeBrown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/ma_2e5f8e95-0cb5-4986-ac13-e01a45766041.jpg?v=1729518156",""
