"Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"Crystal Magnet Pin With Logo","1001-1","14899766559012","warehouse","1","1 / One Size / Metal","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/HV17MHtrjDQWmq2209y2hZHp1o36qLsrJlyiDBIH.png?v=1706293632"
"Chemise Sleeves Basic Undershirt","10033030000160","14908086550820","warehouse","1","2XL / White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_9d9112fd-76c5-41c8-ae8a-730701077171.jpg?v=1716821095"
"Chemise Sleeves Basic Undershirt","10033030021760","14902123626788","warehouse","1","2XL / Black / Cotton","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_3243012f-98c8-4434-9fa7-dacb884e2090.jpg?v=1716821097"
"Pure Cotton Kuwaiti Cap With Tie Back","10022322500200","14911004573988","warehouse","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_5c3719c5-ca97-433c-b355-11e9cba7e002.jpg?v=1713709918"
"Opulent Linen Scarf","10011030978297","14911063884068","warehouse","1","Bisque","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/13_0b66d7ca-7225-4ff1-ab37-bf83d3fbf1bc.jpg?v=1711889049"
"Bubbly Cover Up","10099090041217","14911069880612","warehouse","1","4 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_3d703663-b329-43af-9b85-187fca671ae0.jpg?v=1711880867"
"Summer Bloom Scarf","10011001015304","14911071519012","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/9_992f1c1f-04c9-4cec-8d66-53ca929e82e1.jpg?v=1717407262"
"Plain Viscose Isdal","57066060161113","14911071551780","warehouse","1","Beige / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_8492bf4f-52a8-45f2-8c9a-5c0c02dadb39.jpg?v=1711881150"
"Plain Viscose Isdal","57066060161083","14911071584548","warehouse","1","Maroon / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/KdqgqteRH8njl1hAUoBhoj4FepgUiu8pIlzfH9lI_d21f4fc1-e1d2-4966-9c08-13a1e04a7461.jpg?v=1711881150"
"Chiffon Wavy Scarf","10011020015002","14911071617316","warehouse","1","OffWhite / 200 X 70 Cm","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/qYzYRzRlZ9IcS0bmJwCSWgR0LWrmcqQ87PzRcPPv.jpg?v=1709462226"
"Easy Go Shirt","10099494309200","14911085445412","warehouse","1","Yellow / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_fede6d42-ec74-49f8-a632-c5f9f447cc64.jpg?v=1715289617"
"Cotton Crinkle Scarf","10011020026096","14911097078052","warehouse","1","ChocolateBrown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2.png?v=1713083460"
"Classy Linen Scarf","10011030979002","14911108317476","warehouse","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_6a38cd34-4aab-445e-9d7e-5f010374fb9d.jpg?v=1714211914"
