"Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"Printed Gradient Scarf","60011010313133","14917774213412","warehouse","1","11","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/hQw6b8CEefYy1t3Sb3PwIelu7XinTcupcpJQdS3H_874ccae2-97d0-44b2-b087-6a1c01de14e5.jpg?v=1706296190"
"Light Gradient Cotton Scarf","60011010212134","14917774410020","warehouse","1","5","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/N9So4yhgJpDgiZvfTcEkEeGkAwJp6gOSQ3WpRQ7Q_f3829b36-d3ce-4615-8bef-1303d38e9539.jpg?v=1707221771"
"Midnight Bloom Scarf","10011001015245","14917774541092","warehouse","2","1","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/22_6cd0f88b-5068-417a-8b17-7f7a1924fbd1.jpg?v=1717418125"
"Full Chemise Pleated Collar","10033535300230","14920280047908","warehouse","1","Medium / OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_d3a39e3b-824b-437e-8723-f3086080ea2d.jpg?v=1716822209"
"Cozy Cotton  Scarf","10011030950214","14920318320932","warehouse","1","Navy","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/nZoFaFhNoINeHasJ2n2yIVrw5USuTm6XbdpUoKB3_a5975ba9-0556-495c-b37a-deba9d7918f8.jpg?v=1706297409"
"Fairy Tale Scarf","10011010141172","14921712828708","warehouse","1","MintGreen","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/DNZyKeoZTSyl0PAYNoACKLX4lMas5D4VwLca1eh5_3b1d4e51-5b6a-4a1d-8a4e-6ec3c0824752.jpg?v=1706297443"
"Mini Lined Satin Chiffon","10011020033002","14921712861476","warehouse","1","OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/dXb08ffDVXMMZbD05BAY8YceZ3yPktQ1c9Qnr02T_c2e15232-feda-4d9a-9356-bc85a5c95579.png?v=1712495499"
"Cotton Kuwaiti with Tie-Back","10022323500400","14921712894244","warehouse","1","LightBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/1271aFQ9zQzcpLxXdIrYREcWKDOLHoH1VStxt9Qn_50129f30-d960-49ed-9114-4a8171c620af.jpg?v=1716198203"
"Easy Go Shirt","10099494321700","14921992044836","warehouse","1","Black / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_cad875c9-66dd-42f0-95c7-99caad56144e.jpg?v=1715289615"
"Easy Go Shirt","10099494304400","14921992077604","warehouse","1","HotPink / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_01529882-3a0e-4af7-9804-ce8edf5be742.jpg?v=1715289619"
"Cotton Sleeves","10055250621700","14923406541092","warehouse","1","Free size / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/WGx3EQa3LKf53JFfe2K6MXW4m1Kmh5jKd2Y4Dfoj.jpg?v=1706284409"
"Plain Cotton Lycra Scarf","10011030951027","14923655053604","warehouse","1","BlushPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/hMcGPYk4Ddmos9MEWWRwkLxsf6ZWZl0Hq3C8VFBO_9736d42c-687e-4ab0-afdc-08abdc872dc7.jpg?v=1707320426"
"Plain Cotton Lycra Scarf","10011030951084","14923655086372","warehouse","1","Maroon","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/TMyUNTilX4gUAsfL88XWY3jTG068h7GjIG91vKTd_27160cc2-3344-407a-aa1f-60da71139b5c.jpg?v=1707320422"
"Hooded Oversized Shirt","10099393802304","14923743297828","warehouse","1","LimeGreen","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_f124f819-6b10-4339-bf99-92dbd07e7dd1.jpg?v=1712224232"
"Essential Shirt","57499353300200","14923743330596","warehouse","1","Offwhite / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_617a0ab0-c2d7-440f-8ae1-5429aa4d63ac.jpg?v=1715284449"
"Nice Black Basic Burkini","10499169521750","14923829739812","warehouse","1","2XL/3XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_8e16777f-21b8-413a-81e1-1652685b913f.jpg?v=1717844804"
"Easy Go Shirt","10099494321700","14925591413028","warehouse","1","Black / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10_cad875c9-66dd-42f0-95c7-99caad56144e.jpg?v=1715289615"
"Palestine Scarf","10011131001005","14925717930276","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/95xArB09a7k2HtLN6qcM8W70SgYCdUzM3AtYR4dH.jpg?v=1709812987"
"Easy Go Shirt","10099494304400","14925736968484","warehouse","1","HotPink / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_01529882-3a0e-4af7-9804-ce8edf5be742.jpg?v=1715289619"
"Easy Go Shirt","10099494314900","14925737001252","warehouse","1","Green / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_df537dbb-fdf5-4754-9110-1fec01b953b7.jpg?v=1715289619"
"Easy Go Shirt","10099494320700","14925737034020","warehouse","1","Blue / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/9_861c4df9-cbd0-4a5c-8563-49c3bca91746.jpg?v=1715289613"
"Pin Box – Black","80044340300001-3","14925779534116","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/75l6BrUDcPzIxHQR12zFPMdpcBXworTvWbjxp92c.jpg?v=1709659312"
"Basic Lycra Scarf","10011030975262","14925954711844","warehouse","1","BoneBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_8eb5b2a9-e0c6-4d5a-b4d5-10e6f95b70fc.jpg?v=1713106243"
"Basic Lycra Scarf","10011030975217","14926146797860","warehouse","1","GrapePurple","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/13_0f719592-0a7f-4fff-9ce3-47d10ea7250f.jpg?v=1713106243"
